,No,IP,EA,BG
0,3C44_1,6.8414103,3.3917265,3.4496838000000003
1,3C44_10,6.7276725,3.4483233,3.2793492
2,3C44_2,6.8003232,3.4085967,3.3917265000000003
3,3C44_3,6.6776061,3.1577205,3.5198855999999994
4,3C44_4,6.685497000000001,3.2725467000000004,3.4129503
5,3C44_5,6.7646781,3.2303712000000004,3.5343069000000003
6,3C44_6,6.7556988,3.2477856,3.5079132000000004
7,3C44_7,6.5584263,3.0545946,3.5038317
8,3C44_8,6.7088976,3.1552716,3.553626
9,3C44_9,6.7603245,3.3435648000000002,3.4167597000000005
10,3C45_1,6.2901356999999996,3.7596057,2.53053
11,3C45_10,6.2887752,3.8235492000000004,2.465226
12,3C45_2,6.2656467000000005,3.7870878,2.4785589000000003
13,3C45_3,6.2226549,3.6970226999999998,2.5256322000000004
14,3C45_4,6.369861,3.8132094,2.5566516000000004
15,3C45_5,6.246055500000001,3.757701,2.4883545000000002
16,3C45_6,6.3538071,3.8915742000000004,2.4622328999999996
17,3C45_7,6.2139477,3.6858666,2.5280811
18,3C45_8,6.293128800000001,3.8651805000000006,2.4279483
19,3C45_9,6.248504400000001,3.7838225999999997,2.4646818000000006
20,3C511_1,6.1910913,3.4510443,2.7400470000000006
21,3C511_10,6.2531301,3.6472284,2.6059017
22,3C511_2,6.1208895000000005,3.5460072,2.5748823000000005
23,3C511_3,6.0607554,3.316899,2.7438564
24,3C511_4,6.1636092,3.3637002,2.7999090000000004
25,3C511_5,6.1715001,3.4015221,2.769978
26,3C511_6,6.1559904,3.3378507,2.8181397
27,3C511_7,6.2248317,3.5860059,2.6388258
28,3C511_8,6.2759865,3.6251882999999996,2.6507982
29,3C511_9,6.3029244,3.7103556,2.5925688
30,3C512_1,5.8362729,3.7604219999999997,2.0758509
31,3C512_10,5.9260659,3.9136143000000003,2.0124516
32,3C512_2,5.8136886,3.8581059,1.9555826999999997
33,3C512_3,5.8376334000000005,3.7960671,2.0415663000000004
34,3C512_4,5.801172,3.7440960000000003,2.057076
35,3C512_5,5.8360008,3.7606941000000003,2.0753067
36,3C512_6,5.9053863,3.9908907,1.9144956000000002
37,3C512_7,5.7940974,3.9323892000000003,1.8617081999999996
38,3C512_8,5.874639,4.0167402,1.8578988000000003
39,3C512_9,5.820219000000001,3.8134815,2.0067375000000003
40,3C55_1,6.6887622,3.1520064,3.5367558000000003
41,3C55_10,6.665361600000001,3.0265683,3.6387933000000006
42,3C55_2,6.582099,2.9756856000000003,3.6064133999999997
43,3C55_3,6.5935272000000005,3.0156843,3.5778429
44,3C55_4,6.678966600000001,3.1560879,3.522878700000001
45,3C55_5,6.7385565000000005,3.2875122,3.4510443
46,3C55_6,6.6871296000000005,3.1416665999999998,3.5454630000000007
47,3C55_7,6.7227747,3.0951375000000003,3.6276372
48,3C55_8,6.7420938,3.142755,3.5993388000000004
49,3C55_9,6.7026393,3.0499689,3.6526704
50,3C61_1,5.6226744,3.9571503000000003,1.6655240999999996
51,3C61_10,5.4425442,3.7957950000000005,1.6467491999999997
52,3C61_2,5.6741013,3.9971490000000003,1.6769522999999997
53,3C61_3,5.5516563,3.8586500999999997,1.6930062
54,3C61_4,5.5652612999999995,3.9225936000000003,1.6426676999999994
55,3C61_5,5.5682544,3.8785134,1.6897409999999997
56,3C61_6,5.5946481,3.9849045,1.6097435999999998
57,3C61_7,5.6789991,4.100819100000001,1.57818
58,3C61_8,5.5440375,3.8665410000000002,1.6774964999999995
59,3C61_9,5.399008200000001,3.9413685000000003,1.4576397000000003
60,3C62_1,5.7761388,3.5615169000000004,2.2146218999999996
61,3C62_10,5.7764109,3.8842274999999997,1.8921834000000006
62,3C62_2,5.9021211,3.7133487000000005,2.1887723999999995
63,3C62_3,5.8096071,3.6475005,2.1621066
64,3C62_4,5.8787205,3.7103556,2.1683649
65,3C62_5,5.9881047,3.8164746,2.1716301
66,3C62_6,5.8928697,3.6777036,2.2151661000000002
67,3C62_7,5.9225286,3.7465449000000004,2.1759836999999997
68,3C62_8,5.7342354,3.6268209,2.1074145000000004
69,3C62_9,5.880625200000001,3.7299468000000005,2.1506784
70,3C71_1,5.396559300000001,3.5783870999999996,1.8181722000000005
71,3C71_10,5.6855295,4.0711602000000005,1.6143693
72,3C71_2,5.717365200000001,3.9892581,1.7281071000000003
73,3C71_3,5.698862399999999,4.0085772,1.6902851999999995
74,3C71_4,5.5102971,3.6502215,1.8600756000000003
75,3C71_5,5.5505679,3.7334841,1.8170838000000002
76,3C71_6,5.459414400000001,3.8104884,1.6489260000000006
77,3C71_7,5.6855295,4.071432300000001,1.6140971999999996
78,3C71_8,5.654238,3.8632758,1.7909622000000005
79,3C71_9,5.6545101,3.9378311999999998,1.7166789000000002
80,3C73_1,5.8596735,3.6347118000000003,2.2249617
81,3C73_10,5.8781763,3.7370213999999997,2.1411549000000005
82,3C73_2,5.6602242,3.3509115,2.3093127000000004
83,3C73_3,5.684441100000001,3.3476463,2.3367948000000003
84,3C73_4,5.844435900000001,3.6110391,2.2333968000000004
85,3C73_5,5.8101513,3.5568912000000004,2.2532601
86,3C73_6,5.9222565000000005,3.7128045,2.2094520000000006
87,3C73_7,5.8354566000000005,3.6461400000000004,2.1893166
88,3C73_8,5.7279771,3.4368951,2.291082
89,3C73_9,5.8768158,3.5598843000000002,2.3169315000000004
90,3C77_1,5.9355894000000005,3.640698,2.2948914
91,3C77_10,5.7649827,3.3487347,2.4162480000000004
92,3C77_2,5.6509728,3.2118684,2.4391044
93,3C77_3,5.8354566000000005,3.5100900000000004,2.3253666
94,3C77_4,5.9029374,3.550905,2.3520323999999997
95,3C77_5,5.7723294,3.5841012,2.1882281999999997
96,3C77_6,5.8572246,3.4983896999999997,2.3588349000000006
97,3C77_7,5.8414428,3.5620611,2.2793817000000005
98,3C77_8,5.6800875,3.2902332000000003,2.3898542999999997
99,3C77_9,5.6079810000000005,3.3147222,2.2932588000000003
100,43_1,6.5606031,2.628486,3.9321170999999993
101,43_2,6.5510796000000004,2.5928409,3.9582387
102,43_3,6.4112202,2.9892906,3.4219295999999995
103,43_4,6.4036014,2.8652130000000002,3.5383883999999997
104,43_5,6.5840037,2.6137926000000005,3.9702110999999998
105,43_6,6.5344815,2.6478051,3.8866764000000007
106,43_7,6.627267600000001,2.5844058,4.0428618
107,44_1,6.2144919000000005,2.6633147999999998,3.5511771000000003
108,44_2,6.4411512,2.9215377,3.5196135000000006
109,44_3,6.3505419,2.8630362,3.4875057000000003
110,44_4,6.4261857,2.9498361,3.4763496
111,44_5,6.4427838,2.8932393,3.5495445000000005
112,44_6,6.2901356999999996,2.7980043,3.4921313999999994
113,44_7,6.328501800000001,2.9745972000000003,3.3539046000000003
114,44_8,6.348093,3.1688766,3.1792164000000005
115,44_9,6.4036014,2.8091604,3.5944409999999998
116,4C44_1,7.081402499999999,3.8249097,3.2564927999999997
117,4C44_10,7.166025599999999,3.7343004,3.4317252
