,No,smiles
0,3C44_1,c1(C#N)cc2c(cc1C#N)cc1c(cc(C#N)c3c1cccc3)c2
1,3C44_10,c1c(C#N)c2c(c(C#N)c1)cc1c(c(C#N)cc3c1cccc3)c2
2,3C44_2,c1(C#N)cc2c(cc1)c(C#N)c1c(c(C#N)cc3c1cccc3)c2
3,3C44_3,c1cc2c(c(C#N)c1)cc1c(ccc3c1cc(C#N)cc3C#N)c2
4,3C44_4,c1cc2c(cc1)cc1c(cc(C#N)c3c1cc(C#N)c(C#N)c3)c2
5,3C44_5,c1(C#N)cc2c(cc1)cc1c(cc(C#N)c3c1cccc3C#N)c2
6,3C44_6,c1(C#N)cc2c(cc1)cc1c(c(C#N)cc3c1cccc3C#N)c2
7,3C44_7,c1c(C#N)c2c(cc1)cc1c(ccc3c1c(C#N)c(C#N)cc3)c2
8,3C44_8,c1(C#N)cc2c(cc1)cc1c(cc(C#N)c3c1c(C#N)ccc3)c2
9,3C44_9,c1c(C#N)c2c(cc1C#N)cc1c(ccc3c1cccc3C#N)c2
10,3C45_1,c1(C#N)cc2c(C#N)c3cc4c(cccc4C#N)cc3cc2cc1
11,3C45_10,c1cc2cc3cc4c(cc(C#N)c(C#N)c4)c(C#N)c3cc2cc1
12,3C45_2,c1(C#N)c(C#N)c2cc3cc4c(cccc4)c(C#N)c3cc2cc1
13,3C45_3,c1cc2cc3cc4c(ccc(C#N)c4C#N)cc3cc2c(C#N)c1
14,3C45_4,c1(C#N)cc2cc3cc4c(ccc(C#N)c4)c(C#N)c3cc2cc1
15,3C45_5,c1c(C#N)c2cc3cc4c(ccc(C#N)c4)cc3cc2c(C#N)c1
16,3C45_6,c1(C#N)cc2c(C#N)c3cc4c(cccc4)c(C#N)c3cc2cc1
17,3C45_7,c1(C#N)c(C#N)c2cc3cc4c(cccc4C#N)cc3cc2cc1
18,3C45_8,c1c(C#N)c2cc3c(C#N)c4c(cccc4)c(C#N)c3cc2cc1
19,3C45_9,c1c(C#N)c2cc3cc4c(cccc4)c(C#N)c3c(C#N)c2cc1
20,3C511_1,c1cc2c(cc1)c(C#N)c1cc3c(ccc4c3ccc(C#N)c4C#N)cc1c2
21,3C511_10,c1c(C#N)c2c(c(C#N)c1)cc1cc3c(cc(C#N)c4c3cccc4)cc1c2
22,3C511_2,c1cc2c(cc1)cc1cc3c(c(C#N)c(C#N)c4c3ccc(C#N)c4)cc1c2
23,3C511_3,c1cc2c(cc1)c(C#N)c1cc3c(c(C#N)cc4c3c(C#N)ccc4)cc1c2
24,3C511_4,c1cc2c(c(C#N)c1)cc1cc3c(c(C#N)cc4c3cccc4C#N)cc1c2
25,3C511_5,c1c(C#N)c2c(cc1)cc1cc3c(ccc4c3cc(C#N)c(C#N)c4)cc1c2
26,3C511_6,c1cc2c(c(C#N)c1)cc1cc3c(ccc4c3cc(C#N)cc4C#N)cc1c2
