,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C447,3.4807032,6.0523203,2.5716171,1.7,c12c(c(c3c(c1)c1c(cc3)cccc1)C#N)cccc2,sa,((sa*1))*(1/1)
C6302,3.4238343,5.861034,2.4371997,1.78,c1cc2c(cc1C#N)cc1c(c2)c2c(cccc2)c2c1c1c(cccc1)cc2,sa,((sa*1))*(1/1)
C6204,3.7538916,5.910012,2.1561204,1.2,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cccc1C#N)c1ccccc31,s,((s))*(1/1)
C6192,3.7726665,5.9328684,2.1602019,0.58,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1C#N)c1ccccc21,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C62.16,2.2355736,5.2643187,3.0287451,3.45,c12c(cc3c(c1C#N)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cccc2,sa,((sa*1))*(1/1)
C564,3.7236885,5.9029374,2.1792489,1.45,c1cc2cc3c(cc2cc1)c1c(cccc1)c1cccc(c31)C#N,s,((s))*(1/1)
C592,3.3394833,5.7475683,2.408085,2.03,c12c(cc3c(c1)c1c(cc3)ccc3c1cc(cc3)C#N)cccc2,s,((s))*(1/1)
C6107,2.6763756,5.4942432,2.8178676,2.93,c12c(cc3c(c1)c1c(c(c3)C#N)ccc3c1cccc3)cc1c(c2)cccc1,sa,((sa*1))*(1/1)
C653,2.933238,5.6330142,2.6997762,2.35,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2cc2c(c1C#N)cccc2,sa,((sa*1)+(s))*(1/2)
C6278,3.3773052,5.670564,2.2932588,1.95,c1cc2c(cc1)cc1c(ccc3c1ccc1c3c(cc3c1cccc3)C#N)c2,s,((s))*(1/1)
C6252,3.7266816,6.1124544,2.3857728,1.17,c1cc2c(cc1)c1c(cc2)c(cc2c1c1c(cccc1)c1ccccc21)C#N,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C557,3.6300861,6.1048356,2.4747495,1.45,c1cc2c(cc1)c1cc3c(ccc4ccccc34)c(c1cc2)C#N,sa,((sa*1))*(1/1)
C6213,3.4314531,5.8811694,2.4497163,1.78,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(c(c3)C#N)c2c(cccc2)cc1,sa,((sa*1))*(1/1)
C6346,3.7987881,5.9959956,2.1972075,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(ccc(c2)C#N)cc1,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6196,3.9704832,6.0795303,2.1090471,0.58,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1ccc(cc21)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C5413,3.8423241,6.0773535,2.2350294,0.83,c1cc2c(cc1)c1c(cc2)c2ccc(cc2c2c1cccc2)C#N,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C6236,3.3800262,5.7845739,2.4045477,1.78,c1cc2c(cc1)c1cc3c(cc1c(c2)C#N)c1c(ccc2c1cccc2)cc3,sa,((sa*1))*(1/1)
C62.11,2.2780212,5.3143851,3.0363639,3.45,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cc(cc2)C#N,sa,((sa*1))*(1/1)
C62.15,2.2236012,5.3260854,3.1024842,3.45,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2C#N)cc2c(c1)cccc2,sa,((sa*1))*(1/1)
C6216,3.4023384,5.8185864,2.416248,1.78,c1cc2c(cc1)c1cc3c(cc1c(c2)C#N)c1c(cc3)c2c(cccc2)cc1,sa,((sa*1))*(1/1)
C6116,2.9813997,5.6716524,2.6902527,2.35,c1cc2c(cc1)c1cc3cc4c(cc3cc1cc2)c1c(cccc1)c(c4)C#N,sa,((sa*1))*(1/1)
