,No,IP,EA,BG
0,C411,6.5391072,2.0968026,4.442304600000001
1,C412,6.4381581,2.0932653,4.3448928
2,C421,6.2136756,2.2244175,3.9892581000000007
3,C422,6.232450500000001,2.3384274,3.8940231000000005
4,C423,6.2207502,2.2668651,3.9538851
5,C424,6.2430624,2.2453692,3.9976932
6,C425,6.2256480000000005,2.2072752,4.0183728
7,C426,6.0825233999999995,2.2002006,3.8823227999999994
8,C431,6.1581672,2.1961191,3.9620480999999996
9,C432,6.2381646,2.3215572,3.9166074000000006
10,C433,6.1777584,2.2361178,3.9416406
11,C434,6.219117600000001,2.1819699,4.0371477
12,C435,6.2063289,2.1920376000000004,4.0142913
13,C436,6.0849723000000004,2.2214244,3.8635479000000004
14,C441,5.8400823,2.1895887000000003,3.6504936000000003
15,C4410,6.0536808,2.4742053,3.5794755
16,C4411,5.9959956000000005,2.4848172,3.5111784
17,C4412,5.9965398,2.5490328,3.4475069999999994
18,C442,5.972050800000001,2.3566581,3.6153926999999997
19,C443,5.9891931000000005,2.3746167000000002,3.6145764000000007
20,C444,5.953548,2.2491786,3.7043693999999996
21,C445,6.0387153,2.4717564000000003,3.5669588999999995
22,C446,5.9897373,2.4344787,3.5552586
23,C447,6.0523203,2.5716171,3.4807031999999993
24,C448,6.0076959,2.4989664,3.5087294999999994
25,C449,6.056946,2.4668586,3.5900874000000003
26,C451,5.5013178,2.8554174000000003,2.6459004
27,C452,5.5609077000000005,2.8861647,2.674743
28,C455,5.5668939,2.9601759,2.606718
29,C51.1,6.1864656,2.3109453,3.8755203000000003
30,C51.10,6.124971,2.2317641999999998,3.8932067999999997
31,C51.11,6.146739,2.2181592,3.9285798000000005
32,C51.13,5.9260659,2.1699975,3.7560684
33,C51.14,6.0387153,2.2015611,3.8371541999999996
34,C51.2,6.1625208,2.2195197,3.9430010999999996
35,C51.3,6.2003427,2.2091799,3.9911627999999997
36,C51.4,6.197077500000001,2.1925818,4.0044957000000005
37,C51.5,6.0860607,2.2189755,3.867085200000001
38,C51.6,6.1263315,2.2761165,3.850215
