,No,smiles
0,C411,c1cc2c(cc1)c1c(ccc(c1)C#N)c1c2cccc1
1,C412,c1cc2c(cc1)c1c(cccc1)c1c2cccc1C#N
2,C421,c1cc2c(cc1)c1c(c(cc3ccccc13)C#N)cc2
3,C422,c1cc2c(cc1)c1c(cc(c3ccccc13)C#N)cc2
4,C423,c1cc2c(cc1)c1c(ccc3c(cccc13)C#N)cc2
5,C424,c1cc2c(cc1)c1c(ccc3cc(ccc13)C#N)cc2
6,C425,c1cc2c(cc1)c1c(ccc3ccc(cc13)C#N)cc2
7,C426,c1cc2c(cc1)c1c(ccc3cccc(c13)C#N)cc2
8,C431,c1ccc2c(c1)c1c(cc2)c2c(cc1C#N)cccc2
9,C432,c1ccc2c(c1)c1c(cc2)c2c(c(c1)C#N)cccc2
10,C433,c1ccc2c(c1)c1c(cc2)c2c(cc1)c(ccc2)C#N
11,C434,c1ccc2c(c1)c1c(cc2)c2c(cc1)cc(cc2)C#N
12,C435,c1ccc2c(c1)c1c(cc2)c2c(cc1)ccc(c2)C#N
13,C436,c1ccc2c(c1)c1c(cc2)c2c(cc1)cccc2C#N
14,C441,c12c(cc3c(c1)c1c(cc3)cccc1C#N)cccc2
15,C4410,c12c(cc3c(c1)c1c(cc3)cccc1)ccc(c2)C#N
16,C4411,c12c(cc3c(c1)c1c(cc3)cccc1)cccc2C#N
17,C4412,c12c(cc3c(c1C#N)c1c(cc3)cccc1)cccc2
18,C442,c12c(cc3c(c1)c1c(cc3)ccc(c1)C#N)cccc2
19,C443,c12c(cc3c(c1)c1c(cc3)cc(cc1)C#N)cccc2
20,C444,c12c(cc3c(c1)c1c(cc3)c(ccc1)C#N)cccc2
21,C445,c12c(cc3c(c1)c1c(c(c3)C#N)cccc1)cccc2
22,C446,c12c(cc3c(c1)c1c(cc3C#N)cccc1)cccc2
23,C447,c12c(c(c3c(c1)c1c(cc3)cccc1)C#N)cccc2
24,C448,c12c(cc3c(c1)c1c(cc3)cccc1)c(ccc2)C#N
25,C449,c12c(cc3c(c1)c1c(cc3)cccc1)cc(cc2)C#N
26,C451,c1ccc2c(c1)cc1c(c2)cc2c(c1)c(ccc2)C#N
27,C452,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc(cc2)C#N
28,C455,c1ccc2c(c1)cc1c(c2)cc2c(c1C#N)cccc2
29,C51.1,c1cc2c(cc1)c1c(cc2C#N)c2c(ccc3c2cccc3)cc1
30,C51.10,c1cc2c(cc1)c1c(cc2)c2c(ccc3c2cccc3C#N)cc1
31,C51.11,c1cc2c(cc1)c1c(cc2)c2c(ccc3c2ccc(c3)C#N)cc1
32,C51.13,c1cc2c(cc1)c1c(cc2)c2c(ccc3c2c(ccc3)C#N)cc1
33,C51.14,c1cc2c(cc1)c1c(c(c2)C#N)c2c(ccc3c2cccc3)cc1
